applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status
Aditya Sharma,25,Female,Single,1,Graduate,Salaried,3.4,105792.82,341986.64,34537.32,710366.91,32.65,642,0,3,5367597.1,12,Business,8768503.41,Rural,N
Myra Patel,55,Male,Married,0,Graduate,Salaried,8.1,70646.84,413788.44,17518.69,757000.72,24.8,629,1,0,554278.93,180,Personal,1794.68,Urban,Y
Arjun Mishra,50,Female,Married,0,Graduate,Retired,20.8,36860.98,167008.77,14654.71,702965.55,39.76,539,0,0,2265165.42,180,Business,2617736.16,Urban,N
Ira Nair,40,Female,Single,0,Graduate,Salaried,9.8,149049.37,1180964.93,21927.37,1123073.35,14.71,538,1,0,198749.8,120,Medical,205529.99,Semiurban,Y
Pooja Agarwal,40,Female,Single,0,Not Graduate,Salaried,5.7,158239.79,732011.2,22384.72,1268709.69,14.15,658,0,1,10000000.0,12,Home,9391812.97,Urban,N
Priya Saxena,59,Male,Married,0,Graduate,Salaried,9.8,59389.61,402120.66,16963.64,785689.5,28.56,614,0,3,4966926.09,360,Home,6027972.37,Urban,N
Rohan Kapoor,24,Female,Married,2,Graduate,Salaried,2.9,75651.66,61280.63,25464.89,408016.04,33.66,753,0,0,145593.31,24,Medical,4267.72,Urban,Y
Rajesh Mehta,52,Female,Single,1,Graduate,Salaried,21.5,33467.26,43515.24,8569.71,144733.83,25.61,577,1,0,2369399.48,36,Home,2859.29,Urban,Y
Diya Rao,30,Male,Married,2,Graduate,Salaried,11.6,37614.97,76036.7,10392.28,454494.1,27.63,699,1,0,540348.83,180,Business,537298.13,Urban,Y
Yash Chopra,25,Female,Single,0,Graduate,Unemployed,0.0,10000.0,22776.13,2877.56,40627.87,28.78,615,1,1,187123.71,300,Vehicle,223504.61,Rural,Y
Rajesh Singh,44,Male,Single,1,Graduate,Salaried,16.9,100626.51,148033.19,44594.3,596238.94,44.32,651,0,1,10000000.0,240,Home,11775552.77,Semiurban,N
Dhruv Saxena,64,Female,Single,0,Not Graduate,Unemployed,0.0,10000.0,57331.65,1796.18,71739.25,17.96,365,1,4,645820.09,36,Home,994248.94,Urban,N
Krishna Shah,54,Female,Married,0,Graduate,Unemployed,0.0,10000.0,64933.56,1072.3,31511.34,10.72,614,1,0,72700.13,60,Education,100227.26,Rural,N
Diya Kapoor,55,Male,Married,2,Graduate,Salaried,30.4,51224.5,228973.99,18092.2,966386.3,35.32,677,1,1,2503275.67,300,Home,2754664.51,Rural,Y
Lakshmi Kapoor,53,Female,Single,1,Graduate,Business Owner,0.7,294144.27,353805.96,37477.62,1842531.35,12.74,597,1,0,6983839.91,240,Vehicle,6138290.29,Urban,Y
Priya Iyer,56,Male,Married,2,Not Graduate,Unemployed,0.0,10000.0,13239.79,3097.45,160780.55,30.97,532,1,2,1152433.41,480,Home,1395453.34,Urban,N
Ishaan Reddy,44,Male,Married,1,Graduate,Unemployed,0.0,10000.0,37388.54,2013.55,53818.26,20.14,841,0,0,84854.24,180,Medical,131.91,Semiurban,N
Diya Mishra,26,Male,Married,0,Graduate,Self-Employed,1.0,86569.38,125984.79,23476.62,1213188.94,27.12,523,1,3,8824355.0,36,Home,11757591.43,Urban,N
Krishna Gupta,58,Male,Married,0,Graduate,Salaried,10.2,83970.82,548309.97,18794.64,217678.52,22.38,754,0,0,6229923.33,120,Business,6198399.7,Urban,Y
Vikram Reddy,41,Female,Married,2,Graduate,Salaried,22.4,76451.17,219001.18,8166.02,252465.11,10.68,633,1,0,875670.38,360,Personal,2082.12,Urban,Y
Dhruv Joshi,43,Male,Married,2,Graduate,Salaried,19.6,63246.35,81989.01,25691.52,758839.76,40.62,697,0,0,434561.56,240,Vehicle,4880.2,Semiurban,N
Rajesh Bansal,37,Female,Married,0,Graduate,Self-Employed,2.3,16091.79,109313.14,5691.61,73203.85,35.37,689,1,0,141637.8,180,Vehicle,142616.89,Semiurban,Y
Divya Gupta,29,Female,Single,1,Graduate,Business Owner,10.5,233078.61,394348.23,165414.07,3000000.0,70.97,677,1,0,2446835.54,480,Medical,1976.25,Urban,N
Reyansh Bansal,62,Female,Single,0,Graduate,Self-Employed,26.4,30650.91,57773.01,4666.37,57945.31,15.22,677,0,0,534508.25,360,Personal,3264.96,Urban,N
Myra Mehta,56,Male,Single,0,Not Graduate,Unemployed,0.0,10000.0,42130.77,1029.57,28877.95,10.3,674,0,0,572721.63,180,Business,591208.14,Rural,N
Rahul Mishra,49,Female,Married,1,Graduate,Salaried,28.4,48595.15,115429.12,11118.74,616884.63,22.88,653,1,0,1091861.16,36,Vehicle,1710641.08,Semiurban,Y
Karan Kapoor,39,Male,Single,0,Graduate,Self-Employed,11.8,34353.34,63620.5,15924.25,222673.62,46.35,579,0,1,246257.33,60,Education,4697.84,Semiurban,N
Kiara Gupta,58,Female,Single,0,Graduate,Salaried,34.9,64849.79,488145.92,10382.24,522015.22,16.01,723,0,1,6093319.59,60,Home,10559571.7,Semiurban,Y
Aryan Mishra,45,Male,Married,0,Graduate,Salaried,25.3,77148.97,486967.21,11975.98,286348.28,15.52,477,1,0,1323187.03,120,Personal,411.31,Semiurban,Y
Ananya Iyer,40,Female,Single,0,Graduate,Salaried,7.3,67860.86,255275.77,34593.62,754780.1,50.98,589,1,0,690290.03,120,Personal,1217653.75,Urban,Y
Karan Sharma,41,Male,Married,1,Graduate,Salaried,21.1,70456.9,255900.15,25537.79,810426.82,36.25,605,0,0,5097151.8,60,Home,680.55,Urban,N
Shreya Desai,31,Male,Married,0,Graduate,Business Owner,7.5,51279.19,378759.47,16325.49,246404.43,31.84,699,0,0,840820.64,12,Other,1193381.91,Semiurban,Y
